DDATETIME,AVGT,AVGP,MAXP,MINP,MINT,MAXT,MAXU,MINU,AVGU,WNDSPD
20190316000000,196,10126,10144,10103,170,233,85,36,63,13
20190317000000,207,10113,10134,10090,193,239,75,51,68,18
20190318000000,215,10093,10116,10069,191,253,88,66,79,22
20190319000000,232,10074,10097,10049,197,282,94,58,81,14
20190320000000,238,10053,10081,10033,220,272,91,71,85,14
20190321000000,245,10040,10059,10019,221,277,95,67,85,17
20190322000000,251,10043,10063,10028,234,282,93,72,87,11
20190323000000,194,10093,10111,10044,161,250,95,86,92,24
20190324000000,158,10109,10131,10085,137,175,96,84,89,19
20190325000000,186,10097,10119,10073,161,216,97,75,87,19
20190326000000,219,10107,10128,10091,197,262,91,68,81,16
20190327000000,226,10096,10125,10068,197,275,88,67,81,13
20190328000000,238,10054,10082,10025,215,281,93,63,84,12
20190329000000,238,10029,10045,10013,226,269,97,72,90,13
20190330000000,228,10058,10076,10033,217,251,95,73,84,15
20190331000000,223,10088,10101,10062,214,248,87,64,76,26
20190401000000,205,10116,10139,10101,196,221,83,71,79,17
20190402000000,211,10106,10132,10078,189,256,84,60,73,23
20190403000000,234,10091,10113,10071,206,283,85,60,75,18
20190404000000,221,10093,10109,10073,202,248,88,66,80,16
20190405000000,235,10073,10095,10044,203,284,84,58,76,15
20190406000000,242,10057,10076,10033,213,285,97,59,83,18
20190407000000,247,10052,10074,10032,224,279,94,70,86,17
20190408000000,260,10042,10061,10023,238,297,94,62,84,17
20190409000000,261,10037,10055,10016,243,291,93,65,85,23
20190410000000,260,10037,10058,10011,238,295,95,67,86,17
20190411000000,262,10026,10041,10006,242,294,95,68,87,15
20190412000000,208,10055,10084,10024,194,269,98,79,93,23
20190413000000,214,10064,10083,10030,204,227,93,82,90,25
20190414000000,227,10063,10078,10041,217,267,97,74,91,12
20190415000000,222,10066,10084,10051,213,245,98,63,82,20
20190416000000,211,10050,10080,10035,193,234,98,75,89,14
20190417000000,230,10049,10072,10028,201,273,98,64,85,16
20190418000000,237,10025,10049,9990,223,250,97,78,87,16
20190419000000,224,10004,10027,9987,206,291,98,70,97,15
20190420000000,227,9999,10014,9971,210,251,98,90,94,30
20190421000000,259,10006,10017,9988,227,295,95,78,90,14
20190422000000,275,10016,10034,9999,254,307,93,69,85,22
20190423000000,274,10028,10047,10014,253,301,95,71,84,22
20190424000000,273,10025,10051,10012,247,303,95,65,84,18
20190425000000,275,10019,10042,10007,253,305,94,73,84,23
20190426000000,280,10029,10049,10011,259,306,94,67,81,19
20190427000000,245,10055,10072,10026,213,281,97,70,85,20
20190428000000,247,10058,10075,10032,216,287,94,69,84,18
20190429000000,267,10035,10062,10007,238,311,93,61,81,13
20190430000000,263,10008,10034,9978,229,287,98,67,82,13
20190501000000,248,10018,10042,10000,228,264,91,66,76,23
20190502000000,210,10050,10065,10026,195,245,96,66,87,25
20190503000000,211,10070,10092,10053,189,239,98,57,80,14
20190504000000,217,10060,10084,10037,198,236,95,46,72,19
20190505000000,211,10023,10055,9993,196,230,98,84,93,16
20190506000000,219,10013,10028,9998,213,231,97,85,90,11
20190507000000,200,10028,10040,9989,192,215,98,79,93,17
20190508000000,202,10022,10043,10000,193,222,97,78,89,17
20190509000000,224,10012,10030,9986,194,264,98,72,88,16
20190510000000,240,10025,10040,10006,227,268,95,74,89,12
20190511000000,252,10041,10057,10020,222,291,90,62,79,17
20190512000000,261,10037,10048,10017,227,303,84,53,67,18
20190513000000,261,10030,10046,10006,244,304,92,61,84,17
20190514000000,274,10020,10037,9999,246,306,94,68,84,14
20190515000000,278,10017,10035,9998,259,313,92,71,86,16
20190516000000,287,10002,10023,9973,273,313,94,76,87,43
20190517000000,290,9980,10000,9954,276,308,94,78,84,51
20190518000000,293,9978,9995,9957,278,318,94,71,85,35
20190519000000,298,9994,10007,9975,281,325,93,68,83,33
20190520000000,282,10007,10015,9991,265,304,95,79,90,16
20190521000000,250,10033,10046,9955,238,286,98,66,79,21
20190522000000,257,10026,10051,10004,220,301,95,64,81,14
20190523000000,259,10024,10038,10015,251,283,93,79,87,16
20190524000000,252,10033,10050,10020,241,280,93,75,85,25
20190525000000,270,10016,10040,9993,251,300,91,72,84,19
20190526000000,265,10003,10021,9984,239,287,98,78,91,10
20190527000000,259,10009,10029,9928,239,268,99,86,94,9
20190528000000,258,10013,10034,9994,240,279,98,81,93,10
20190529000000,251,10023,10036,10011,241,270,95,82,89,18
20190530000000,248,10026,10043,10012,233,270,94,75,85,20
20190531000000,253,10014,10030,9991,243,277,98,83,94,12
20190601000000,269,10002,10018,9981,245,296,99,75,91,25
20190602000000,266,9997,10019,9986,246,303,98,75,90,17
20190603000000,266,9999,10013,9981,247,296,98,79,90,20
20190604000000,269,10013,10031,9995,246,317,97,69,88,16
20190605000000,288,10020,10037,10009,250,320,95,69,85,12
20190606000000,294,10030,10045,10016,273,324,94,63,83,19
20190607000000,293,10031,10047,10009,272,317,94,66,82,26
20190608000000,293,10013,10030,9987,274,315,93,65,81,33
20190609000000,296,9983,10000,9960,282,315,91,74,82,52
20190610000000,282,9962,9976,9944,239,310,98,79,89,37
20190611000000,257,9974,10034,9958,238,287,98,84,97,11
20190612000000,270,9966,9994,9916,242,311,98,78,92,14
20190613000000,273,9963,10027,9938,239,301,99,80,91,16
20190614000000,283,9953,9967,9936,250,326,97,53,73,18
20190615000000,282,9980,9994,9959,251,330,78,42,65,23
20190616000000,279,9989,10005,9977,259,308,86,58,75,17
20190617000000,274,9998,10013,9987,266,300,95,73,84,20
20190618000000,281,10009,10019,9996,264,317,98,72,88,14
20190619000000,289,10006,10021,9986,259,305,96,76,84,11
20190620000000,297,9997,10013,9978,272,318,96,70,83,21
20190621000000,299,9986,9999,9970,286,320,91,73,84,38
20190622000000,298,9974,9989,9959,285,316,94,74,85,46
20190623000000,295,9973,9986,9961,288,309,92,79,86,38
20190624000000,282,9988,9998,9975,258,303,98,82,92,32
20190625000000,270,9991,10024,9978,242,310,98,73,90,17
20190626000000,274,9971,10002,9943,256,314,98,76,90,11
20190627000000,295,9944,9968,9922,274,323,94,70,85,14
20190628000000,296,9944,9954,9928,282,326,94,72,87,14
20190629000000,304,9945,9958,9926,275,331,94,59,82,15
20190630000000,304,9943,9959,9926,266,340,97,64,81,14
20190701000000,304,9946,9962,9921,280,342,90,55,77,17
20190702000000,298,9942,9954,9928,280,328,83,65,75,18
20190703000000,265,9964,9979,9940,254,286,98,76,95,15
20190704000000,287,9991,10000,9976,252,318,98,71,86,14
20190705000000,285,9976,9999,9956,258,313,98,73,87,35
20190706000000,291,9962,9973,9943,269,313,97,75,86,27
20190707000000,290,9971,9981,9957,280,308,90,75,85,25
20190708000000,296,9983,9995,9968,281,319,92,74,81,28
20190709000000,294,9961,9983,9940,279,309,93,76,84,43
20190710000000,274,9959,9969,9940,254,291,98,84,93,26
20190711000000,284,10000,10015,9878,266,318,94,77,88,14
20190712000000,296,10001,10024,9979,276,318,95,67,83,29
20190713000000,294,9981,10004,9956,284,310,88,75,82,37
20190714000000,293,9968,9978,9953,284,318,91,75,83,32
20190715000000,299,9975,9981,9958,276,334,94,64,82,16
20190716000000,297,9977,9992,9958,276,336,93,61,82,16
20190717000000,303,9950,9972,9912,276,352,94,57,84,14
20190718000000,307,9915,9933,9896,256,356,94,56,80,15
20190719000000,279,9938,9962,9825,266,336,97,67,90,12
20190720000000,274,9978,9990,9960,245,304,98,85,95,14
20190721000000,279,9993,10007,9936,261,310,95,75,88,9
20190722000000,275,9983,9999,9965,264,301,96,81,92,10
20190723000000,289,9980,9996,9964,262,334,94,57,81,16
20190724000000,300,9992,10001,9979,273,335,92,60,80,15
20190725000000,299,10008,10023,9989,277,321,93,64,80,24
20190726000000,299,9999,10012,9975,281,325,93,60,81,25
20190727000000,301,9985,9999,9966,283,335,90,54,79,25
20190728000000,295,9993,10010,9979,261,320,92,67,79,17
20190729000000,286,9994,10013,9973,254,331,97,55,81,16
20190730000000,285,9977,9997,9878,265,316,95,64,83,18
20190731000000,261,9956,9988,9927,246,290,97,72,90,15
20190801000000,256,9932,9950,9901,245,267,98,88,96,21
20190802000000,267,9946,9960,9841,246,293,98,78,93,18
20190803000000,268,9954,9965,9944,251,283,98,82,88,14
20190804000000,284,9956,9969,9940,257,319,93,53,79,15
20190805000000,295,9958,9970,9940,260,340,88,54,75,16
20190806000000,284,9959,9973,9934,273,318,95,65,85,10
20190807000000,296,9936,9963,9907,276,334,85,55,71,9
20190808000000,300,9917,9937,9888,272,352,91,54,81,17
20190809000000,306,9901,9933,9813,259,361,97,52,82,15
20190810000000,304,9914,9929,9896,292,327,96,79,90,45
20190811000000,300,9935,9948,9916,290,324,94,76,89,39
20190812000000,300,9942,9960,9929,290,328,95,72,86,31
20190813000000,302,9944,9954,9928,291,325,94,69,85,39
20190814000000,301,9947,9960,9925,270,343,93,66,83,23
20190815000000,299,9946,9961,9925,276,320,90,68,80,29
20190816000000,293,9959,9975,9940,277,320,94,70,83,18
20190817000000,280,9980,9996,9968,254,317,97,69,90,10
20190818000000,268,9978,9996,9961,250,310,98,78,95,20
20190819000000,278,9968,9982,9948,251,326,98,68,91,10
20190820000000,289,9955,9986,9839,265,323,98,64,83,12
20190821000000,288,9987,10001,9969,260,327,90,53,76,14
20190822000000,292,9994,10008,9975,266,334,89,56,79,12
20190823000000,286,10012,10105,9976,254,306,98,79,87,10
20190824000000,309,9956,10004,9924,267,355,95,53,75,16
20190825000000,266,9928,9964,9908,250,338,98,62,96,18
20190826000000,256,9960,9999,9898,232,291,99,85,96,14
20190827000000,284,10008,10022,9874,261,328,97,67,86,13
20190828000000,300,9994,10021,9965,264,349,95,57,80,12
20190829000000,290,9985,9992,9972,270,326,96,64,80,23
20190830000000,279,10002,10024,9990,245,299,98,69,83,12
20190831000000,277,10004,10023,9988,246,310,98,66,87,8
20190901000000,270,9997,10015,9976,259,317,97,66,88,15
20190902000000,258,10002,10013,9987,250,293,98,76,96,19
20190903000000,276,9989,10016,9966,254,308,93,69,84,22
20190904000000,266,9970,9988,9955,249,295,98,73,92,12
20190905000000,276,9960,9979,9943,258,303,97,71,84,13
20190906000000,290,9952,9969,9932,254,340,92,53,73,16
20190907000000,299,9963,9982,9943,266,351,95,50,79,10
20190908000000,296,9974,9991,9954,276,341,96,60,86,15
20190909000000,295,9985,10001,9966,275,330,95,61,83,24
20190910000000,298,10015,10029,9992,273,339,90,52,74,16
20190911000000,298,10042,10057,10021,274,338,89,51,77,14
20190912000000,298,10030,10050,10005,267,340,89,56,75,15
20190913000000,297,10012,10028,9992,283,328,85,65,77,16
20190914000000,280,10014,10028,9994,268,328,97,66,89,11
20190915000000,280,10011,10036,9990,230,322,98,62,82,9
20190916000000,280,10005,10025,9986,251,315,98,65,86,10
20190917000000,275,10018,10038,9998,242,315,98,67,86,12
20190918000000,284,10036,10052,10018,249,331,98,52,81,13
20190919000000,284,10042,10061,10018,256,323,91,43,66,20
20190920000000,281,10018,10043,9996,248,310,88,34,55,20
20190921000000,280,10010,10028,9989,246,307,50,36,43,36
20190922000000,270,10051,10067,10017,241,294,59,35,44,25
20190923000000,267,10091,10105,10067,240,301,63,41,53,21
20190924000000,271,10101,10119,10084,245,315,83,35,64,18
20190925000000,269,10099,10117,10081,241,309,84,41,68,17
20190926000000,270,10098,10115,10081,242,310,84,49,71,13
20190927000000,271,10095,10114,10074,241,317,88,41,73,10
20190928000000,275,10078,10096,10056,242,324,90,40,71,13
20190929000000,280,10058,10085,10032,245,329,90,39,72,15
20190930000000,297,10020,10050,9995,255,336,91,39,63,14
20191001000000,296,10021,10041,10008,268,334,78,45,64,25
20191002000000,290,10039,10058,10021,264,329,90,39,73,19
20191003000000,283,10047,10066,10031,260,323,88,49,72,19
20191004000000,282,10049,10065,10031,255,325,87,48,72,12
20191005000000,285,10056,10074,10042,250,330,94,50,70,9
20191006000000,274,10071,10087,10056,235,304,98,55,72,14
20191007000000,258,10083,10096,10066,225,300,100,64,85,13
20191008000000,277,10083,10103,10065,253,315,90,59,77,15
20191009000000,274,10076,10097,10054,252,313,84,53,73,16
20191010000000,275,10063,10088,10042,254,317,85,58,76,15
20191011000000,280,10046,10071,10021,250,320,93,62,80,14
20191012000000,283,10044,10062,10027,259,314,89,63,81,13
20191013000000,264,10073,10094,10047,228,300,100,66,86,9
20191014000000,256,10102,10120,10080,232,278,99,69,82,22
20191015000000,259,10117,10138,10098,233,301,84,49,69,21
20191016000000,259,10110,10130,10087,229,291,83,45,60,15
20191017000000,254,10100,10119,10076,227,288,80,45,63,24
20191018000000,257,10098,10117,10079,235,293,78,45,58,21
20191019000000,255,10099,10121,10083,230,297,76,45,61,17
20191020000000,253,10092,10113,10071,233,290,85,50,72,13
20191021000000,249,10067,10091,10043,223,296,87,41,68,12
20191022000000,242,10049,10069,10026,215,276,82,52,67,11
20191023000000,250,10048,10062,10031,218,291,82,46,68,13
20191024000000,254,10075,10093,10057,231,295,78,51,69,14
20191025000000,250,10094,10112,10079,228,288,81,55,73,14
20191026000000,254,10096,10117,10079,236,284,82,61,74,14
20191027000000,246,10083,10108,10052,216,292,80,56,71,18
20191028000000,240,10077,10089,10060,213,279,90,66,80,19
20191029000000,211,10089,10099,10074,184,242,77,52,64,23
20191030000000,229,10097,10121,10080,202,264,65,45,51,21
20191031000000,239,10091,10114,10075,218,270,56,45,52,22
20191101000000,252,10086,10109,10060,222,297,78,52,69,12
20191102000000,252,10072,10092,10052,225,288,86,57,75,17
20191103000000,257,10066,10088,10051,221,302,91,39,66,15
20191104000000,246,10075,10094,10051,217,279,53,29,43,37
20191105000000,236,10062,10092,10040,207,269,52,33,44,32
20191106000000,228,10047,10070,10023,199,270,78,38,57,12
20191107000000,229,10064,10085,10046,203,259,76,38,55,19
20191108000000,224,10095,10123,10079,196,264,53,38,45,40
20191109000000,218,10105,10131,10078,190,259,67,36,52,28
20191110000000,219,10089,10117,10052,184,265,88,32,66,14
20191111000000,226,10071,10088,10055,189,280,85,37,67,15
20191112000000,229,10089,10108,10072,202,267,84,62,73,16
20191113000000,238,10106,10131,10087,204,281,89,58,76,13
20191114000000,224,10118,10146,10094,198,254,80,48,58,25
20191115000000,221,10095,10116,10070,197,271,84,48,71,20
20191116000000,225,10082,10109,10059,198,273,83,48,70,14
20191117000000,228,10077,10099,10052,196,281,90,50,77,16
20191118000000,234,10087,10108,10069,207,279,99,50,74,18
20191119000000,187,10114,10137,10095,156,227,68,51,61,30
20191120000000,197,10122,10152,10093,173,240,68,47,60,22
20191121000000,211,10116,10140,10088,173,256,81,37,58,13
20191122000000,219,10098,10120,10074,180,277,75,36,54,8
20191123000000,225,10095,10123,10073,191,279,87,45,71,11
20191124000000,232,10099,10120,10081,195,288,92,46,73,11
20191125000000,239,10121,10144,10097,213,295,88,41,70,17
20191126000000,217,10132,10159,10109,192,257,84,53,67,18
20191127000000,227,10125,10144,10100,197,274,82,52,73,13
