DDATETIME,AVGT,AVGP,MAXP,MINP,MINT,MAXT,MAXU,MINU,AVGU,WNDSPD
20150223000000,197,10075,10099,10050,186,231,94,74,88,22
20150224000000,207,10067,10087,10043,189,250,92,67,84,24
20150225000000,207,10061,10083,10044,195,229,94,77,88,21
20150226000000,227,10062,10087,10045,198,284,92,53,80,17
20150227000000,198,10076,10103,10058,187,225,90,78,85,25
20150228000000,198,10091,10113,10071,183,232,88,65,80,31
20150301000000,186,10120,10153,10092,154,209,88,49,65,19
20150302000000,174,10090,10133,10051,166,194,82,53,72,22
20150303000000,201,10047,10068,10021,167,249,90,69,82,20
20150304000000,164,10073,10098,10034,145,222,93,80,87,23
20150305000000,170,10081,10106,10066,159,188,91,78,86,36
20150306000000,171,10093,10112,10077,163,183,92,83,90,22
20150307000000,167,10101,10127,10085,146,186,90,78,86,20
20150308000000,192,10100,10120,10083,171,220,88,67,81,22
20150309000000,216,10108,10121,10092,178,264,92,58,78,11
20150310000000,181,10142,10159,10116,166,226,82,43,68,25
20150311000000,160,10141,10162,10121,152,176,82,69,77,22
20150312000000,144,10132,10157,10109,132,158,93,81,88,21
20150313000000,174,10111,10131,10092,146,202,90,66,76,23
20150314000000,197,10106,10131,10088,180,212,86,72,81,20
20150315000000,217,10086,10105,10065,202,246,91,73,85,17
20150316000000,231,10079,10102,10058,204,275,94,65,83,17
20150317000000,236,10053,10077,10025,217,276,90,58,79,22
20150318000000,239,10037,10056,10021,215,283,90,62,81,17
20150319000000,247,10055,10075,10036,222,296,91,55,79,18
20150320000000,245,10077,10100,10055,221,294,89,47,76,18
20150321000000,231,10090,10114,10074,207,280,92,63,83,17
20150322000000,214,10100,10122,10082,196,240,90,65,79,22
20150323000000,218,10108,10128,10089,191,270,73,45,55,23
20150324000000,199,10144,10166,10113,181,236,82,53,72,18
20150325000000,178,10164,10179,10148,171,196,89,66,78,15
20150326000000,187,10166,10184,10151,170,209,82,67,75,16
20150327000000,207,10144,10174,10117,182,238,84,64,75,13
20150328000000,218,10109,10134,10084,193,271,77,52,69,17
20150329000000,222,10086,10113,10060,188,277,89,52,74,15
20150330000000,236,10072,10094,10053,207,285,88,57,78,18
20150331000000,242,10061,10087,10041,216,292,88,54,79,17
20150401000000,248,10048,10072,10025,224,293,89,60,79,14
20150402000000,254,10010,10040,9983,229,296,88,61,79,14
20150403000000,260,9998,10019,9982,241,286,87,65,80,16
20150404000000,263,10020,10034,9995,245,310,87,57,78,19
20150405000000,265,10037,10055,10017,236,316,87,44,71,21
20150406000000,266,10039,10054,10024,230,309,86,56,72,19
20150407000000,262,10056,10070,10037,235,307,89,58,78,18
20150408000000,167,10111,10130,10070,146,235,92,61,72,38
20150409000000,157,10107,10129,10087,136,182,93,77,85,20
20150410000000,160,10108,10122,10093,150,174,93,79,87,15
20150411000000,151,10118,10132,10100,142,160,94,83,93,16
20150412000000,193,10123,10138,10100,154,240,93,47,73,14
20150413000000,221,10114,10134,10088,168,277,82,25,53,17
20150414000000,215,10113,10138,10084,177,265,52,13,35,20
20150415000000,214,10083,10104,10065,165,271,70,26,49,19
20150416000000,223,10075,10103,10049,183,279,76,42,61,17
20150417000000,232,10048,10073,10024,198,276,86,44,69,16
20150418000000,249,10024,10045,9999,225,287,85,67,79,16
20150419000000,265,10010,10027,9988,251,280,86,73,80,25
20150420000000,263,10004,10019,9981,253,296,88,69,83,25
20150421000000,233,10052,10076,10008,206,261,88,49,68,17
20150422000000,236,10093,10111,10069,207,284,86,47,65,23
20150423000000,232,10107,10123,10097,216,252,64,42,56,20
20150424000000,244,10100,10121,10084,210,293,83,51,68,13
20150425000000,242,10092,10112,10073,214,280,80,56,69,18
20150426000000,243,10093,10111,10076,219,284,79,51,68,17
20150427000000,251,10068,10091,10045,212,296,83,51,69,15
20150428000000,251,10043,10064,10024,222,288,87,56,76,18
20150429000000,264,10035,10059,10016,239,316,89,54,78,26
20150430000000,275,10035,10058,10009,246,326,88,47,73,22
20150501000000,270,10026,10047,10005,255,310,80,58,73,15
20150502000000,273,10020,10037,10000,255,299,86,62,77,28
20150503000000,283,10023,10041,9998,262,313,85,62,76,29
20150504000000,281,10026,10046,10001,262,314,87,60,75,33
20150505000000,270,10014,10039,9988,255,308,88,61,80,19
20150506000000,272,10008,10023,9983,242,304,87,65,78,21
20150507000000,278,10020,10039,10005,256,312,88,63,79,17
20150508000000,280,10013,10035,9989,262,313,85,60,79,15
20150509000000,279,10007,10018,9995,232,313,93,67,79,23
20150510000000,262,10021,10041,10005,238,305,89,61,81,17
20150511000000,261,10026,10039,10002,224,303,93,65,82,18
20150512000000,256,10050,10070,10032,217,308,93,40,70,29
20150513000000,266,10047,10061,10029,245,292,81,53,74,19
20150514000000,279,10047,10064,10029,252,315,87,55,75,13
20150515000000,287,10041,10062,10014,262,326,84,57,75,22
20150516000000,253,10032,10046,10002,232,282,92,71,86,17
20150517000000,254,10008,10030,9993,240,309,91,65,87,13
20150518000000,277,10003,10019,9989,253,301,90,67,80,25
20150519000000,275,9995,10012,9977,257,293,93,77,85,16
20150520000000,271,9990,9999,9975,245,302,92,75,86,32
20150521000000,250,10005,10020,9984,236,272,93,69,84,27
20150522000000,233,10014,10026,9988,225,252,91,77,87,24
20150523000000,245,9987,10009,9975,236,255,94,88,93,15
20150524000000,265,9984,9998,9972,240,293,94,74,87,10
20150525000000,283,9991,10003,9972,256,326,93,59,81,18
20150526000000,270,10005,10022,9996,253,292,92,79,89,14
20150527000000,291,9997,10017,9975,272,313,90,71,82,21
20150528000000,296,9979,9996,9961,277,324,88,64,79,37
20150529000000,300,9989,10004,9972,280,322,86,64,75,40
20150530000000,290,10003,10016,9976,251,323,91,63,80,30
20150531000000,279,9999,10024,9985,254,316,92,70,80,13
20150601000000,284,10005,10014,9991,263,317,90,66,85,14
20150602000000,293,10018,10032,10004,271,320,88,60,76,22
20150603000000,296,10027,10047,10007,272,323,86,59,74,32
20150604000000,293,10017,10037,9997,272,319,87,59,76,29
20150605000000,275,10003,10016,9986,257,304,91,67,85,37
20150606000000,285,10002,10014,9989,252,323,92,62,79,23
20150607000000,297,10014,10030,10001,272,323,85,53,74,24
20150608000000,298,10008,10023,9990,273,324,85,61,74,22
20150609000000,299,9999,10016,9977,275,323,82,64,75,32
20150610000000,295,9999,10013,9977,275,325,85,64,79,27
20150611000000,300,10007,10020,9990,282,328,87,63,77,34
20150612000000,294,10011,10029,9994,260,321,90,66,78,23
20150613000000,300,10006,10019,9986,279,327,86,57,74,22
20150614000000,294,10009,10023,9997,269,313,88,62,76,15
20150615000000,302,10021,10036,10001,276,337,84,50,69,13
20150616000000,302,10009,10030,9987,276,333,83,49,70,26
20150617000000,300,9986,10003,9965,281,327,82,57,74,40
20150618000000,304,9979,9991,9963,278,337,85,55,72,26
20150619000000,304,9988,9998,9973,281,344,84,41,72,25
20150620000000,301,9992,10005,9978,284,354,81,47,72,16
20150621000000,301,9980,10000,9959,270,336,89,59,73,22
20150622000000,279,9959,9984,9944,263,302,92,71,86,19
20150623000000,282,9964,9980,9951,258,302,92,69,82,21
20150624000000,282,9978,9997,9964,251,316,92,68,83,15
20150625000000,278,9985,9999,9973,260,298,92,77,88,8
20150626000000,293,9985,9994,9973,271,320,89,63,80,21
20150627000000,304,10007,10016,9988,284,337,85,57,73,22
20150628000000,300,10021,10038,10003,277,335,88,54,76,26
20150629000000,298,10006,10026,9979,279,325,81,57,75,30
20150630000000,303,9986,10007,9963,286,330,81,62,74,42
20150701000000,302,9968,9987,9940,289,330,83,65,77,33
20150702000000,304,9957,9974,9936,292,326,82,64,76,37
20150703000000,304,9954,9965,9939,286,332,84,62,75,25
20150704000000,305,9955,9965,9938,279,339,85,55,72,16
20150705000000,307,9959,9973,9937,277,345,82,49,68,17
20150706000000,294,9944,9962,9924,272,324,78,53,66,29
20150707000000,291,9934,9944,9921,259,325,67,47,57,24
20150708000000,286,9937,9951,9918,259,324,65,47,58,33
20150709000000,269,9906,9940,9868,250,305,87,57,69,37
20150710000000,281,9928,9944,9878,246,334,93,45,75,17
20150711000000,308,9930,9945,9909,268,354,85,43,65,16
20150712000000,313,9939,9947,9923,284,359,85,39,67,15
20150713000000,309,9950,9967,9932,284,348,87,51,70,16
20150714000000,303,9951,9964,9923,281,346,84,50,72,19
20150715000000,309,9939,9955,9918,282,355,84,51,71,16
20150716000000,301,9934,9948,9909,284,343,83,56,76,15
20150717000000,288,9941,9958,9928,255,319,92,65,81,20
20150718000000,300,9944,9955,9929,280,333,83,57,71,18
20150719000000,303,9940,9955,9927,274,343,78,45,66,17
20150720000000,279,9939,9953,9932,265,302,91,66,81,17
20150721000000,261,9987,10004,9932,251,270,93,83,89,45
20150722000000,278,10008,10019,9991,259,296,90,76,85,26
20150723000000,274,10004,10021,9991,246,302,93,72,86,17
20150724000000,268,9995,10014,9980,229,289,94,75,87,24
20150725000000,283,9992,10005,9981,268,303,89,68,80,26
20150726000000,280,10014,10027,9988,261,313,91,63,81,19
20150727000000,282,10039,10050,10027,257,316,90,61,79,15
20150728000000,291,10048,10057,10032,263,328,87,50,71,12
20150729000000,274,10043,10063,10031,263,320,83,55,76,12
20150730000000,282,10038,10051,10029,260,318,86,59,73,17
20150731000000,288,10037,10049,10022,251,325,86,52,69,17
20150801000000,286,10036,10049,10022,261,321,85,54,71,16
20150802000000,287,10042,10054,10028,252,328,85,52,70,15
20150803000000,291,10034,10047,10016,258,328,87,53,70,19
20150804000000,294,10013,10031,9990,259,333,87,48,68,18
20150805000000,296,9990,10006,9966,270,328,80,50,68,18
20150806000000,299,9980,9998,9961,272,338,83,44,68,16
20150807000000,317,9967,9989,9931,277,360,82,34,61,14
20150808000000,330,9919,9951,9886,298,360,77,38,51,27
20150809000000,311,9911,9932,9891,251,362,89,39,61,17
20150810000000,281,9967,9984,9932,255,313,91,67,80,20
20150811000000,291,9998,10013,9983,258,321,92,56,76,23
20150812000000,299,10006,10017,9989,274,341,85,48,73,17
20150813000000,284,10005,10026,9987,263,302,90,72,79,23
20150814000000,271,9999,10014,9987,243,313,93,70,83,10
20150815000000,253,10010,10030,9994,239,284,93,76,88,11
20150816000000,278,10011,10024,9997,245,309,91,67,85,14
20150817000000,294,10007,10024,9990,272,319,90,66,79,22
20150818000000,298,10007,10024,9985,281,330,88,50,76,28
20150819000000,297,10004,10019,9983,278,335,86,53,76,24
20150820000000,289,9995,10012,9969,269,316,91,69,81,10
20150821000000,293,9956,9987,9928,270,345,88,53,75,13
20150822000000,304,9933,9950,9914,272,339,88,50,63,23
20150823000000,314,9930,9944,9913,286,346,67,44,57,24
20150824000000,317,9951,9964,9932,285,349,79,34,53,11
20150825000000,309,9982,9992,9956,281,346,76,35,54,18
20150826000000,283,10010,10017,9993,262,327,89,48,72,17
20150827000000,279,10008,10025,9994,265,313,84,61,78,21
20150828000000,279,9993,10023,9972,262,315,87,59,78,9
20150829000000,272,9988,10002,9977,259,325,90,59,83,9
20150830000000,270,9994,10004,9982,257,300,90,69,83,12
20150831000000,266,10001,10013,9990,256,295,91,70,85,9
20150901000000,277,10002,10013,9991,265,301,86,67,81,16
20150902000000,256,10034,10049,10009,248,275,91,81,87,14
20150903000000,276,10055,10069,10042,254,297,85,71,80,12
20150904000000,284,10059,10072,10040,261,329,88,55,79,14
20150905000000,291,10040,10062,10011,263,329,90,50,74,19
20150906000000,295,10010,10031,9978,277,327,83,58,77,27
20150907000000,285,9998,10011,9981,255,294,89,70,79,26
20150908000000,280,10019,10030,10006,258,316,80,44,67,17
20150909000000,282,10045,10061,10027,259,317,76,48,64,18
20150910000000,281,10053,10076,10030,261,321,74,45,64,19
20150911000000,278,10037,10054,10010,264,307,78,55,69,19
20150912000000,267,10043,10054,10021,258,308,80,57,75,16
20150913000000,273,10058,10080,10036,250,308,73,48,61,25
20150914000000,271,10051,10075,10026,242,311,79,44,67,25
20150915000000,282,10041,10057,10016,254,326,76,44,65,21
20150916000000,282,10045,10056,10000,268,307,74,58,69,16
20150917000000,283,10071,10086,10053,259,314,80,53,69,17
20150918000000,282,10078,10095,10057,258,320,79,52,70,15
20150919000000,280,10050,10078,10022,259,317,84,55,73,16
20150920000000,281,10023,10047,9997,264,309,84,57,72,14
20150921000000,261,10013,10028,9996,240,278,93,68,84,9
20150922000000,280,10026,10042,10010,258,318,85,58,74,12
20150923000000,287,10019,10039,9996,260,324,88,50,73,16
20150924000000,293,9996,10018,9970,268,335,86,41,72,17
20150925000000,298,9976,9994,9954,273,332,85,53,73,17
20150926000000,287,9994,10011,9968,262,325,90,63,81,11
20150927000000,286,10009,10034,9991,260,321,86,51,66,20
20150928000000,285,9999,10019,9970,248,319,72,38,53,26
20150929000000,293,9985,9997,9968,261,326,53,36,45,18
20150930000000,297,10034,10051,9997,279,330,79,49,67,14
20151001000000,284,10057,10075,10036,269,321,87,60,76,13
20151002000000,276,10053,10071,10038,255,316,84,48,66,20
20151003000000,263,10049,10067,10030,247,284,89,64,76,20
20151004000000,261,10054,10071,10035,243,269,92,78,85,28
20151005000000,263,10077,10094,10067,252,277,91,76,84,23
20151006000000,262,10067,10089,10053,248,279,92,76,85,17
20151007000000,263,10053,10076,10039,251,275,91,77,85,12
20151008000000,276,10034,10058,10012,252,311,89,51,71,18
20151009000000,265,10041,10058,10027,233,295,80,49,63,20
20151010000000,228,10068,10093,10050,202,266,82,59,72,28
20151011000000,197,10109,10129,10083,176,220,88,46,70,35
20151012000000,229,10117,10133,10100,177,254,87,42,53,9
20151013000000,248,10114,10133,10094,224,289,71,37,59,13
20151014000000,249,10101,10123,10081,216,293,80,41,63,15
20151015000000,251,10078,10103,10054,216,296,81,42,68,9
20151016000000,257,10065,10087,10039,222,310,83,30,62,13
20151017000000,257,10062,10084,10040,222,310,87,21,64,12
20151018000000,249,10053,10074,10031,216,290,83,30,61,16
20151019000000,246,10032,10057,10000,213,271,70,40,54,19
20151020000000,252,10014,10033,9990,224,285,62,40,52,14
20151021000000,255,10028,10047,10012,231,303,71,44,61,15
20151022000000,271,10047,10064,10029,242,316,76,34,61,13
20151023000000,265,10056,10077,10034,232,310,82,36,65,13
20151024000000,265,10075,10097,10060,236,305,81,43,67,11
20151025000000,263,10092,10109,10079,252,293,74,48,67,19
20151026000000,257,10093,10111,10076,243,278,79,63,71,16
20151027000000,266,10082,10101,10060,237,309,81,53,70,12
20151028000000,261,10093,10112,10078,246,303,86,57,77,13
20151029000000,264,10106,10126,10091,244,299,78,52,71,15
20151030000000,262,10103,10119,10089,237,300,85,53,73,14
20151031000000,257,10128,10148,10107,240,285,79,51,70,14
20151101000000,209,10140,10165,10126,198,248,84,59,71,30
20151102000000,203,10131,10149,10108,180,237,71,45,57,26
20151103000000,226,10121,10142,10105,197,258,65,50,58,19
20151104000000,246,10109,10130,10088,215,285,82,48,67,15
20151105000000,253,10088,10110,10065,229,299,82,51,72,16
20151106000000,258,10082,10102,10066,247,283,79,60,72,19
20151107000000,265,10088,10105,10073,248,302,81,57,74,16
20151108000000,270,10089,10114,10072,253,306,81,54,71,17
20151109000000,268,10086,10104,10065,239,307,86,55,71,14
20151110000000,237,10096,10117,10079,219,271,76,61,70,23
20151111000000,241,10098,10122,10081,226,271,80,56,72,24
20151112000000,240,10099,10118,10082,230,251,77,69,74,18
20151113000000,229,10080,10096,10064,199,257,91,74,83,17
20151114000000,233,10074,10092,10052,197,272,88,62,78,10
20151115000000,244,10076,10098,10065,235,262,85,70,77,19
20151116000000,253,10061,10083,10040,236,288,85,64,77,18
20151117000000,267,10061,10078,10047,238,314,87,47,73,13
20151118000000,264,10086,10102,10068,234,314,88,47,75,14
20151119000000,261,10095,10115,10078,234,299,89,52,74,14
20151120000000,251,10096,10111,10077,233,282,84,59,74,16
20151121000000,246,10098,10119,10074,231,273,81,55,73,13
20151122000000,252,10098,10116,10078,227,291,81,51,71,20
20151123000000,248,10095,10118,10068,223,293,80,47,66,21
20151124000000,233,10094,10120,10069,213,272,75,47,67,20
20151125000000,217,10105,10124,10084,194,246,84,55,67,25
20151126000000,169,10135,10158,10116,138,215,63,19,40,33
20151127000000,166,10150,10172,10135,127,210,55,29,40,24
20151128000000,191,10150,10171,10133,164,232,66,46,59,14
20151129000000,211,10139,10160,10118,173,263,80,49,66,14
20151130000000,216,10117,10141,10089,176,259,79,47,65,13
20151201000000,226,10100,10121,10078,206,260,82,55,71,14
20151202000000,234,10094,10113,10073,212,282,80,47,72,15
20151203000000,178,10124,10142,10099,158,234,89,56,73,25
20151204000000,172,10139,10163,10125,159,190,88,65,74,27
20151205000000,166,10112,10142,10093,134,209,90,67,80,18
20151206000000,144,10144,10165,10124,128,168,89,59,73,25
20151207000000,151,10162,10182,10138,126,187,75,56,67,28
20151208000000,156,10154,10172,10131,144,171,83,64,72,20
20151209000000,159,10102,10150,10061,151,164,93,80,89,15
20151210000000,180,10083,10106,10066,160,208,93,73,84,11
20151211000000,184,10090,10111,10072,160,231,80,53,69,16
20151212000000,191,10085,10101,10061,169,222,78,65,75,18
20151213000000,208,10085,10100,10070,192,235,80,64,75,22
20151214000000,194,10093,10111,10076,177,204,90,71,80,17
20151215000000,168,10119,10139,10097,155,190,72,56,64,25
20151216000000,141,10155,10172,10134,120,170,66,30,45,41
20151217000000,121,10186,10210,10164,100,147,38,20,28,35
20151218000000,122,10189,10215,10163,88,170,39,26,35,20
20151219000000,152,10182,10202,10159,107,204,54,32,42,17
20151220000000,159,10152,10187,10133,143,178,91,39,67,10
20151221000000,182,10138,10160,10118,148,221,91,63,80,12
20151222000000,202,10126,10148,10107,184,226,84,70,78,17
20151223000000,214,10102,10128,10079,189,257,91,67,83,12
20151224000000,233,10089,10110,10074,211,286,91,56,81,12
20151225000000,173,10133,10159,10092,147,229,91,52,70,29
20151226000000,158,10133,10149,10112,141,192,71,55,65,24
20151227000000,154,10153,10172,10133,137,166,90,69,82,19
20151228000000,161,10193,10216,10160,143,194,79,55,65,20
20151229000000,171,10183,10203,10156,144,199,75,52,66,19
20151230000000,162,10176,10200,10159,137,194,86,54,71,23
20151231000000,168,10189,10213,10169,138,211,74,49,62,18
20160101000000,182,10184,10202,10162,161,223,83,56,69,10
20160102000000,187,10147,10186,10117,154,228,90,59,76,8
20160103000000,189,10122,10144,10102,178,200,97,79,94,8
20160104000000,207,10111,10139,10092,190,236,96,77,89,14
20160105000000,204,10083,10113,10061,200,228,96,84,92,10
20160106000000,206,10111,10137,10079,186,245,96,62,79,24
20160107000000,181,10143,10174,10120,159,216,79,56,70,19
20160108000000,179,10133,10158,10110,150,216,88,54,68,26
20160109000000,172,10129,10151,10113,150,203,81,64,73,15
20160110000000,178,10099,10138,10072,165,196,85,71,80,17
20160111000000,175,10093,10104,10069,156,212,96,68,85,16
20160112000000,157,10126,10147,10103,144,176,85,65,72,31
20160113000000,152,10133,10159,10104,118,198,79,49,68,21
20160114000000,142,10121,10143,10094,132,160,89,67,79,17
20160115000000,136,10081,10119,10062,131,145,96,87,93,17
20160116000000,159,10060,10091,10037,136,178,96,85,92,18
20160117000000,175,10039,10068,10014,166,190,97,75,88,26
20160118000000,140,10098,10114,10068,101,176,77,56,67,19
20160119000000,150,10126,10150,10104,136,172,77,60,69,21
20160120000000,150,10123,10145,10099,143,160,94,68,88,17
20160121000000,148,10103,10125,10081,142,159,96,88,92,19
20160122000000,112,10118,10142,10098,93,144,95,84,92,29
20160123000000,67,10200,10228,10142,54,94,93,61,75,44
20160124000000,35,10273,10305,10223,17,65,88,42,63,37
20160125000000,57,10254,10292,10220,25,109,58,23,35,25
20160126000000,73,10202,10233,10178,60,109,92,31,58,17
20160127000000,103,10155,10191,10126,62,140,97,81,90,15
20160128000000,151,10105,10143,10081,129,165,98,89,96,15
20160129000000,169,10100,10119,10082,157,191,98,83,93,14
20160130000000,177,10122,10147,10103,161,213,95,64,85,13
20160131000000,157,10122,10147,10095,150,176,93,69,81,18
20160201000000,109,10152,10170,10115,94,155,95,85,92,26
20160202000000,77,10176,10198,10153,65,95,94,77,84,25
20160203000000,99,10164,10185,10140,76,126,79,65,73,21
20160204000000,137,10146,10172,10112,106,198,85,55,72,20
20160205000000,133,10140,10165,10110,100,175,80,48,66,21
20160206000000,131,10174,10200,10136,96,168,58,22,34,36
20160207000000,123,10190,10211,10161,72,175,40,15,29,21
20160208000000,147,10163,10187,10136,99,218,46,15,31,14
20160209000000,158,10132,10158,10108,97,237,62,31,54,13
20160210000000,169,10095,10123,10077,150,193,71,51,63,18
20160211000000,196,10070,10089,10052,159,252,91,65,80,16
20160212000000,214,10054,10080,10031,187,259,94,71,87,13
20160213000000,227,10048,10070,10027,206,273,96,66,88,12
20160214000000,216,10072,10105,10040,188,253,93,60,77,19
20160215000000,115,10171,10192,10105,87,188,91,51,61,31
20160216000000,104,10182,10199,10162,87,123,63,51,58,21
20160217000000,112,10166,10189,10142,98,125,91,51,66,17
20160218000000,121,10144,10173,10119,96,138,95,77,88,9
20160219000000,138,10128,10144,10106,127,148,96,86,93,11
20160220000000,153,10157,10185,10130,119,204,96,30,62,21
20160221000000,146,10145,10167,10124,140,163,84,44,70,19
20160222000000,163,10127,10144,10111,148,194,93,73,85,16
20160223000000,147,10148,10167,10130,130,163,94,76,84,18
20160224000000,125,10200,10222,10167,109,143,88,63,73,28
20160225000000,133,10215,10235,10194,120,155,77,65,73,26
20160226000000,137,10201,10227,10179,125,155,83,71,79,16
20160227000000,149,10174,10202,10146,126,186,88,59,77,17
20160228000000,159,10162,10181,10148,115,212,79,52,66,17
20160229000000,181,10167,10186,10147,126,258,79,26,56,15
20160301000000,166,10167,10191,10138,136,233,83,40,66,16
20160302000000,168,10161,10184,10135,132,228,77,28,58,16
20160303000000,185,10134,10159,10105,141,249,89,50,75,13
20160304000000,198,10106,10128,10083,168,254,85,61,77,10
20160305000000,205,10091,10109,10069,185,245,88,62,79,12
20160306000000,214,10085,10107,10058,187,265,93,61,82,13
20160307000000,201,10072,10096,10054,185,235,94,73,87,16
20160308000000,210,10049,10077,10017,190,245,91,72,85,15
20160309000000,211,10045,10060,10029,203,231,96,84,94,15
20160310000000,125,10119,10153,10052,96,217,94,85,90,28
20160311000000,96,10156,10181,10139,82,121,91,65,72,28
20160312000000,121,10105,10155,10071,100,136,89,70,81,17
20160313000000,156,10070,10087,10048,136,183,97,87,95,16
20160314000000,144,10107,10128,10075,128,153,97,70,79,21
20160315000000,137,10099,10122,10075,128,155,95,57,81,17
20160316000000,152,10073,10094,10054,135,167,89,80,86,11
20160317000000,176,10062,10083,10045,160,188,95,86,91,18
20160318000000,213,10040,10062,10024,182,246,96,81,90,10
20160319000000,227,10051,10074,10036,206,273,97,74,92,15
20160320000000,202,10065,10084,10044,189,230,97,77,87,22
20160321000000,181,10064,10097,10041,167,198,96,76,90,24
20160322000000,176,10053,10078,10031,168,188,96,85,91,23
20160323000000,192,10051,10069,10024,177,225,97,87,95,14
20160324000000,154,10127,10152,10069,136,208,95,83,92,19
20160325000000,133,10165,10186,10138,113,165,93,48,72,20
20160326000000,158,10160,10179,10139,114,221,82,27,57,15
20160327000000,173,10164,10191,10144,136,217,67,25,45,19
20160328000000,166,10162,10190,10146,142,211,78,32,55,20
20160329000000,184,10138,10168,10116,149,240,71,36,59,13
20160330000000,201,10108,10136,10087,179,249,92,65,79,15
20160331000000,217,10080,10109,10054,190,269,94,60,85,11
20160401000000,228,10066,10090,10050,206,269,92,57,79,11
20160402000000,225,10078,10101,10060,204,265,92,68,84,14
20160403000000,236,10068,10091,10048,206,278,94,65,81,16
20160404000000,236,10053,10071,10020,209,289,96,67,86,20
20160405000000,227,10057,10080,10038,200,264,97,74,89,12
20160406000000,243,10055,10077,10034,214,298,92,60,80,16
20160407000000,246,10056,10069,10037,225,289,92,67,85,15
20160408000000,251,10058,10075,10036,228,295,94,66,85,22
20160409000000,250,10044,10066,10001,235,274,94,77,88,19
20160410000000,231,10016,10047,9996,210,250,96,84,92,14
20160411000000,217,10021,10033,10004,210,239,95,84,92,15
20160412000000,206,10014,10049,9966,197,215,96,84,90,22
20160413000000,215,9980,10004,9958,206,237,98,88,97,12
20160414000000,235,10005,10019,9982,220,251,98,96,97,13
20160415000000,224,10032,10051,10016,215,249,97,91,95,20
20160416000000,248,10028,10049,10009,215,289,95,72,89,14
20160417000000,263,10032,10050,10002,238,295,96,73,87,13
20160418000000,227,10071,10092,10020,199,267,97,62,81,23
20160419000000,211,10093,10116,10077,204,239,87,71,80,24
20160420000000,228,10066,10106,10023,205,259,88,75,84,17
20160421000000,245,10051,10073,10030,219,283,96,69,87,10
20160422000000,234,10038,10068,10005,205,253,97,72,90,15
20160423000000,246,10007,10037,9989,221,285,96,75,88,11
20160424000000,244,10012,10029,9998,231,290,95,67,91,11
20160425000000,261,10021,10037,10009,238,294,96,73,89,18
20160426000000,272,10021,10040,9995,248,296,96,73,88,25
20160427000000,266,10009,10026,9986,236,307,97,69,83,21
20160428000000,267,10029,10047,10008,247,296,95,54,72,14
20160429000000,244,10061,10087,10040,232,275,81,61,71,24
20160430000000,231,10049,10074,10025,221,247,80,63,71,21
20160501000000,230,10038,10053,10019,202,268,96,75,88,19
20160502000000,261,10034,10047,10016,231,295,94,73,86,17
20160503000000,265,10037,10054,10022,235,310,97,68,87,19
20160504000000,256,10038,10057,10019,227,304,97,67,87,15
20160505000000,278,10032,10054,10007,256,311,94,68,85,20
20160506000000,281,10026,10040,10006,263,309,92,72,85,14
20160507000000,273,10033,10049,10018,229,313,96,67,86,16
20160508000000,284,10038,10058,10024,265,311,89,68,81,13
20160509000000,284,10028,10053,9996,265,314,88,67,82,12
20160510000000,253,10008,10037,9992,230,278,98,83,92,14
20160511000000,252,10013,10028,9995,219,301,92,52,70,18
20160512000000,256,10020,10040,10007,227,298,85,59,74,18
20160513000000,262,10045,10067,10022,242,291,85,61,74,19
20160514000000,262,10066,10085,10054,244,292,88,69,79,20
20160515000000,266,10050,10071,10016,230,318,92,59,80,18
20160516000000,241,10044,10060,10018,209,281,95,50,71,21
20160517000000,237,10048,10068,10032,223,261,86,53,79,16
20160518000000,247,10045,10061,10030,224,275,86,63,72,18
20160519000000,253,10025,10049,9995,235,287,85,67,79,19
20160520000000,250,9996,10017,9977,244,268,97,81,92,17
20160521000000,259,9985,9999,9971,238,299,99,72,92,13
20160522000000,268,10009,10017,9991,241,299,89,61,74,22
20160523000000,271,10013,10026,9991,241,317,81,59,74,13
20160524000000,273,10004,10022,9986,249,322,94,59,81,14
20160525000000,283,10003,10016,9988,258,316,89,60,76,17
20160526000000,280,10003,10023,9982,260,305,85,69,79,24
20160527000000,272,9990,10008,9972,262,303,93,74,87,18
20160528000000,274,10001,10013,9984,242,312,97,77,89,19
20160529000000,286,10004,10021,9988,248,314,96,76,86,20
20160530000000,294,10013,10028,9998,273,323,95,69,85,27
20160531000000,294,10024,10033,10006,279,316,90,72,82,37
20160601000000,295,10006,10027,9981,280,322,92,74,84,49
20160602000000,298,9986,10003,9962,281,323,92,73,84,37
20160603000000,299,9991,10009,9967,286,327,88,73,82,46
20160604000000,283,10006,10018,9987,249,333,95,68,82,37
20160605000000,270,10013,10028,10003,237,309,96,70,84,12
20160606000000,250,10017,10032,9996,235,287,98,79,94,11
20160607000000,281,10007,10024,9992,248,327,95,63,83,13
20160608000000,275,9990,10010,9969,243,317,95,66,86,15
20160609000000,272,9987,9998,9971,259,322,96,64,88,11
20160610000000,281,9987,9998,9968,263,330,92,63,84,14
20160611000000,264,9984,9998,9973,251,279,98,82,94,13
20160612000000,267,9983,9996,9967,255,277,98,88,95,9
20160613000000,290,9978,9996,9954,275,315,97,78,88,33
20160614000000,292,9969,9983,9953,285,310,91,79,87,28
20160615000000,290,9978,9991,9967,271,318,96,74,87,13
20160616000000,286,9996,10005,9974,275,300,93,72,87,22
